one of two or more different genes that code for similar proteins at the same locus on the chromosome,allele
reproduction that generates offspring identical to their parents,asexual
any of the chromosomes other than the sex chromosomes,autosome
linear thread of DNA found in the nucleus carrying the genetic code in the form of genes,chromosome
environmental influences causing a developmental anomaly during maturation,congenital
the normal number of chromosomes for a particular species,diploid
an allele that is expressed in the phenotype even if the individual is heterozygous,dominant
reproductive cell like an egg or sperm,gamete
basic unit of heredity that is made up of DNA,gene
study of heredity,genetics
genetic makeup of an individual,genotype